color,percentage
#de107f,0.27855
#ffffff,13.103525
#ffa800,4.2042
#000000,23.415375
#ff4500,6.896275
#3690ea,3.507125
#811e9f,1.67495
#b44ac0,0.80225
#ffd635,5.7172
#be0039,4.1862
#2450a4,5.9385
#6d482f,1.7223499999999998
#ff99aa,1.6375750000000002
#00756f,0.9090499999999999
#493ac1,0.545025
#515252,1.552775
#898d90,3.151325
#d4d7d9,3.4663
#7eed56,1.64015
#ffb470,1.49885
#9c6926,2.3487750000000003
#00a368,2.7594250000000002
#00cc78,1.09535
#ff3881,0.8377749999999999
#94b3ff,0.6053000000000001
#009eaa,0.35575
#51e9f4,3.101475
#fff8b8,1.17005
#6d001a,1.02215
#00ccc0,0.1681
#6a5cff,0.41590000000000005
#e4abff,0.2724